simulant,n,k_c_kN_per_m_n_plus_1,k_phi_kN_per_m_n_plus_2,cohesion_kPa,friction_angle_deg,density_kg_per_m3,citation,notes
FJS-1,1.0,1.37,820.0,0.2,38.0,1500,"Kanamori et al. 1998",Lunar highland simulant (Shimizu).
JSC-1A,1.0,1.4,820.0,1.0,45.0,1600,"Zeng et al. 2010, J Aerospace Engineering",Most widely used lunar mare simulant.
GRC-1,0.8,0.7,505.0,0.25,38.0,1620,"Oravec et al. 2010, JTerramechanics",Lunar regolith simulant (NASA Glenn).
GRC-3,0.9,1.0,700.0,0.4,42.0,1700,"Oravec et al. 2010, JTerramechanics",
Apollo_regolith_nominal,1.0,1.4,820.0,0.17,46.0,1660,"Heiken et al. 1991 (Lunar Sourcebook ch. 9)",Best-estimate nominal regolith; use for baseline runs.
Apollo_regolith_loose,1.0,0.5,400.0,0.1,30.0,1400,"Heiken et al. 1991, bounds",Soft / worst-case for slope studies.
Apollo_regolith_dense,1.2,2.0,1200.0,0.5,50.0,1900,"Heiken et al. 1991, bounds",Compacted / best-case.
Ding2011_planetary_simulant,1.10,15.6,2407.4,0.25,31.9,1605,"Ding et al. 2011, J. Terramechanics 48(1):27-45, Table 2","Planetary soil simulant used in Ding 2011 single-wheel tests; k_c/k_phi reported in kPa equal kN units here; Janosi K=9.7-13.1 mm (use ~0.011 m)."
KLS-1,1.0,1.4,820.0,1.716,40.6,1600,"Wang & Han 2016, J. Korean Geotech. Soc. 32(11) Table 2 (C, phi); n/k_c/k_phi proxied from PSD-matched JSC-1A","Korean lunar simulant; cohesion 1.716 kPa and friction 40.6 deg measured (direct shear); gamma_d 1.46-1.80 g/cm3, RD 60%. Pressure-sinkage params not reported -> JSC-1A proxy."
Hurrell2025_FJS1,1.0,1.37,820.0,2.4,38.0,1740,"Hurrell et al. 2025 Table 2 (cohesion 2.4 kPa via Ozaki et al. 2023; angle of repose 38 deg); n/k_c/k_phi proxied from catalogue FJS-1 (Kanamori 1998)","FJS-1 as characterised in Hurrell 2025 Rashid-1 tests, loose (~25% rel. density, bulk 1623-2100). Cohesion 2.4 kPa is far above the dry-catalogue FJS-1 value (0.2); pressure-sinkage params not reported -> FJS-1 proxy."
